	GT1	GT10	GT11	GT12	GT13	GT14	GT15	GT16	GT17	GT18	GT2	GT3	GT4	GT5	GT6	GT7	GT8	GT9	HHM1	HHM10	HHM11	HHM12	HHM13	HHM14	HHM15	HHM16	HHM17	HHM18	HHM2	HHM3	HHM4	HHM5	HHM6	HHM7	HHM8	HHM9
ASV_178	7	16	0	93	113	96	0	5	0	0	0	0	0	85	0	0	59	126	0	105	0	0	0	7	0	61	120	18	0	0	0	11	0	0	0	6
ASV_229	117	11	0	66	17	63	0	75	0	0	0	0	0	43	0	0	29	144	0	10	0	0	0	71	0	33	24	89	0	0	0	56	0	0	0	77
ASV_157	40	36	0	125	49	84	0	13	0	0	0	0	0	176	0	0	43	71	0	32	0	0	0	39	0	76	75	30	0	0	0	27	0	0	0	6
ASV_211	6	10	0	101	62	115	0	38	0	0	0	0	0	84	0	0	57	222	0	54	0	0	0	2	0	51	65	28	0	0	0	11	0	0	0	9
ASV_278	26	52	0	64	25	71	0	31	0	0	0	0	0	217	0	0	71	82	0	67	0	0	0	24	0	41	69	32	0	0	0	15	0	0	0	23
ASV_185	5	20	0	103	90	86	0	8	0	0	0	0	0	91	0	0	58	133	0	52	0	0	0	4	0	117	99	24	0	0	0	7	0	0	0	5
ASV_209	58	36	0	57	23	33	0	180	0	0	0	0	0	90	0	0	9	63	0	14	0	0	0	59	0	56	25	77	0	0	0	10	0	0	0	107
ASV_235	6	36	0	90	152	48	0	217	0	0	0	0	0	24	0	0	83	40	0	58	0	0	0	2	0	38	61	18	0	0	0	16	0	0	0	8
ASV_187	25	77	0	59	162	116	0	20	0	0	0	0	0	47	0	0	77	73	0	24	0	0	0	11	0	62	68	23	0	0	0	31	0	0	0	19
ASV_239	26	5	0	123	42	28	0	35	0	0	0	0	0	25	0	0	21	355	0	22	0	0	0	15	0	19	66	61	0	0	0	21	0	0	0	28
ASV_2105	0	0	0	45	206	36	0	2	0	0	0	0	0	19	0	0	11	44	0	11	0	0	0	0	0	11	483	9	0	0	0	7	0	0	0	4
ASV_202	2	0	0	142	68	550	0	4	0	0	0	0	0	0	0	0	0	46	0	2	0	0	0	2	0	59	2	2	0	0	0	1	0	0	0	0
ASV_204	0	39	0	63	200	60	0	18	0	0	0	0	0	57	0	0	57	159	0	67	0	0	0	1	0	55	81	5	0	0	0	3	0	0	0	11
ASV_201	184	30	0	54	7	64	0	36	0	0	0	0	0	41	0	0	47	23	0	16	0	0	0	86	0	55	49	47	0	0	0	28	0	0	0	108
ASV_236	0	63	0	96	101	35	0	25	0	0	0	0	0	164	0	0	71	126	0	35	0	0	0	1	0	64	52	24	0	0	0	14	0	0	0	4
ASV_223	0	2	0	18	129	44	0	4	0	0	0	0	0	96	0	0	71	153	0	142	0	0	0	0	0	55	139	1	0	0	0	13	0	0	0	2
ASV_226	15	38	0	101	77	62	0	58	0	0	0	0	0	121	0	0	47	112	0	33	0	0	0	13	0	80	52	35	0	0	0	10	0	0	0	15
ASV_240	125	54	0	37	7	19	0	151	0	0	0	0	0	43	0	0	8	18	0	9	0	0	0	116	0	49	8	78	0	0	0	16	0	0	0	131
ASV_2981	17	0	0	79	73	28	0	1	0	0	0	0	0	0	0	0	0	625	0	0	0	0	0	7	0	11	5	16	0	0	0	2	0	0	0	1
ASV_221	12	22	0	65	36	196	0	39	0	0	0	0	0	103	0	0	67	52	0	71	0	0	0	7	0	47	37	29	0	0	0	34	0	0	0	44
ASV_265	116	6	0	24	14	16	0	28	0	0	0	0	0	12	0	0	9	6	0	11	0	0	0	112	0	11	4	36	0	0	0	3	0	0	0	435
ASV_220	128	40	0	41	5	31	0	62	0	0	0	0	0	28	0	0	23	35	0	19	0	0	0	82	0	155	45	66	0	0	0	15	0	0	0	65
ASV_288	286	6	0	28	1	13	0	188	0	0	0	0	0	1	0	0	2	7	0	1	0	0	0	249	0	26	8	15	0	0	0	0	0	0	0	8
ASV_9281	47	1	0	110	20	21	0	5	0	0	0	0	0	8	0	0	16	221	0	11	0	0	0	22	0	35	54	132	0	0	0	18	0	0	0	117
ASV_244	20	8	0	57	11	30	0	201	0	0	0	0	0	102	0	0	53	58	0	20	0	0	0	5	0	20	22	72	0	0	0	45	0	0	0	111
ASV_257	3	11	0	76	59	39	0	6	0	0	0	0	0	50	0	0	57	175	0	75	0	0	0	1	0	151	111	3	0	0	0	7	0	0	0	9
ASV_296	98	25	0	42	11	21	0	266	0	0	0	0	0	25	0	0	29	24	0	13	0	0	0	54	0	56	30	46	0	0	0	9	0	0	0	79
